Date,Kbrevis,S79.Q,S79.TN,S79.TP,S77.TN
10/21/2014,-0.03085468,234.8774409,0.03952009,-0.00811857,-0.15202095
11/4/2014,-0.0516243,47.46001293,0.00422559,-0.01674882,-0.26747169
11/18/2014,-0.18615829,-192.759506,-0.03874563,-0.02463804,-0.35892004
12/2/2014,-0.40948684,-452.4572119,-0.08452679,-0.03177088,-0.42014178
12/16/2014,-0.68174674,-692.1525059,-0.1289042,-0.03815682,-0.45116585
12/30/2014,-0.95715349,-874.929379,-0.16861893,-0.04374078,-0.45695391
1/13/2015,-1.19204588,-969.861478,-0.20102578,-0.04833914,-0.44573656
1/27/2015,-1.3551146,-957.3368018,-0.22418189,-0.05159391,-0.42685183
2/10/2015,-1.43340237,-832.1508236,-0.23674516,-0.05300088,-0.40738107
2/24/2015,-1.4347831,-605.0428705,-0.2378569,-0.05199219,-0.3900383
3/10/2015,-1.38589869,-301.4563032,-0.22749308,-0.04809349,-0.37252726
3/24/2015,-1.32460182,40.97070109,-0.20668765,-0.04106245,-0.34925928
4/7/2015,-1.29003914,376.8680225,-0.17772146,-0.03102412,-0.31333523
4/21/2015,-1.31185861,659.3927311,-0.14388546,-0.0185239,-0.25801338
5/5/2015,-1.40255372,847.1909389,-0.10918069,-0.00451816,-0.1801852
5/19/2015,-1.55198805,907.9029027,-0.07740157,0.00974115,-0.0826953
6/2/2015,-1.72725576,826.7833072,-0.05109969,0.02286049,0.02607546
6/16/2015,-1.87805204,607.2472109,-0.03110654,0.03351628,0.13340742
6/30/2015,-1.94688682,273.789742,-0.01641417,0.04066722,0.22401493
7/14/2015,-1.8797611,-136.0932919,-0.00494636,0.04372992,0.2832855
7/28/2015,-1.63957225,-573.3640475,0.00557993,0.04267768,0.30014879
8/11/2015,-1.21497863,-981.4297688,0.01659674,0.03802254,0.2714345
8/25/2015,-0.62524709,-1303.617083,0.0286275,0.0307255,0.20319891
9/8/2015,0.08078273,-1489.335482,0.04087892,0.02199907,0.10850613
9/22/2015,0.83111121,-1501.493598,0.05200556,0.01309191,0.00516304
10/6/2015,1.54258268,-1319.891773,0.06041306,0.00504187,-0.08731853
10/20/2015,2.13523411,-946.1203379,0.0647259,-0.00149195,-0.15146183
11/3/2015,2.54456651,-407.2772341,0.06407522,-0.00631788,-0.17638326
11/17/2015,2.73345895,247.7252427,0.057867,-0.00966716,-0.16008334
12/1/2015,2.69666083,952.8505172,0.04578715,-0.0120533,-0.1094269
12/15/2015,2.45972634,1633.061029,0.02729079,-0.01408067,-0.03862661
12/29/2015,2.07265547,2215.731247,0.00190847,-0.0162723,0.03544695
1/12/2016,1.59864024,2641.162087,-0.03051057,-0.01891864,0.09478121
1/26/2016,1.10139358,2870.773213,-0.06901393,-0.02196021,0.12455287
2/9/2016,0.63512888,2891.507354,-0.11125681,-0.02497348,0.11471868
2/23/2016,0.23696095,2740.612066,-0.1530496,-0.02725687,0.07014631
3/8/2016,-0.0785245,2456.635205,-0.18906897,-0.02803963,0.00136308
3/22/2016,-0.31716512,2112.779161,-0.2140749,-0.02668979,-0.0765611
4/5/2016,-0.50223549,1785.917341,-0.22419513,-0.02291018,-0.14748545
4/19/2016,-0.65938675,1543.685758,-0.21769479,-0.01682723,-0.19690248
5/3/2016,-0.81050641,1433.810858,-0.19520979,-0.00900096,-0.21553134
5/17/2016,-0.96372352,1476.924006,-0.15968089,-0.00033913,-0.20243604
5/31/2016,-1.11094394,1661.520243,-0.11550884,0.00802751,-0.16368667
6/14/2016,-1.22812432,1949.298968,-0.06772398,0.01493036,-0.11105929
6/28/2016,-1.28035109,2285.76591,-0.02070041,0.0193642,-0.05953843
7/12/2016,-1.23108153,2615.769981,0.02140524,0.02066645,-0.02299574
7/26/2016,-1.05184615,2881.836706,0.05543869,0.01861266,-0.011343
8/9/2016,-0.73145415,3031.619583,0.07889478,0.01343167,-0.02873483
8/23/2016,-0.28025687,3026.105354,0.0897388,0.00575004,-0.07010407
9/6/2016,0.2690272,2847.633803,0.08660151,-0.00355173,-0.1253492
9/20/2016,0.86351762,2497.587739,0.06911894,-0.01349101,-0.18135696
10/4/2016,1.43866918,1998.189635,0.03839215,-0.02316345,-0.22634211
