gaussian,STA34_Cin,STA34_Cout,Kb,stochastic_ODE_z,stochastic_ODE_x
0.925089608,-18.93212691,-0.00024352,2.760432479,5.712574445,-0.266574474
-0.570877949,-31.08655353,0.00202333,2.441877629,5.866807497,-0.283112933
-0.312383656,-32.15303101,0.00510962,2.129514287,6.015193554,-0.288088406
1.602110743,-28.31036454,0.00796504,1.853573235,6.179351226,-0.280224466
0.861662126,-26.76198333,0.00960281,1.629914052,6.420629114,-0.259215748
-0.928802313,-27.18633602,0.00937341,1.451582073,6.457839552,-0.232122375
-1.152855551,-22.12426462,0.00711862,1.294514851,6.440837979,-0.205198077
-0.001428226,-6.292946026,0.00322514,1.125037389,6.430798285,-0.178479386
-0.43438923,14.99999563,-0.00146386,0.905153839,6.426775885,-0.151888064
-0.431180183,28.37913507,-0.00585648,0.6071448,6.427609808,-0.125325679
0.901456868,23.6860221,-0.0089326,0.207986507,6.432317714,-0.09870875
0.881433904,3.503596224,-0.01001883,-0.288723518,6.440200468,-0.07197853
-1.14360448,-18.23435352,-0.00894305,-0.853540451,6.450859612,-0.045101326
-0.697190307,-28.12620951,-0.00610919,-1.438710061,6.464183522,-0.018068304
0.065097004,-23.76347308,-0.00233735,-1.981902609,6.481305264,0.009104206
-1.984364747,-13.5103603,0.00127049,-2.416679381,6.499513134,0.036373117
1.117499923,-6.656875806,0.00365825,-2.684013038,6.455232047,0.063585061
-0.10479437,-4.244280597,0.00413128,-2.743291123,6.438185551,0.090214114
0.619319682,0.144264158,0.00250321,-2.581414968,6.429190384,0.116904393
1.127721457,11.09267816,-0.00081782,-2.216902751,6.419263626,0.14341611
2.744255757,24.2042072,-0.00488717,-1.697893509,6.407653726,0.169696381
-0.378075708,28.97396907,-0.00856188,-1.09510495,6.393945161,0.195664943
0.744328986,18.78615429,-0.01079041,-0.490433841,6.378067321,0.221216661
1.236083801,-1.702586814,-0.01087632,0.035403171,6.360118429,0.246224587
1.080929957,-19.46466153,-0.00868744,0.412144365,6.340356109,0.270542749
-0.017648844,-24.21375946,-0.00470513,0.601324462,6.319209274,0.29401533
0.971775543,-17.04214488,0.00013313,0.587824811,6.297240026,0.316491374
1.402477,-7.737625589,0.0046512,0.39065195,6.275104071,0.337840161
-0.510867359,-5.469006221,0.00776548,0.055478283,6.253506499,0.357968477
-0.91397947,-10.43414379,0.00875352,-0.358599154,6.233159428,0.376837384
-0.824913453,-14.70620896,0.00747262,-0.787891574,6.214760311,0.394470966
-0.476203801,-11.46894618,0.00438143,-1.177116689,6.198982335,0.410959897
-0.286470372,-2.569903872,0.00043697,-1.48781208,6.186465505,0.426463904
0.622313413,3.086281978,-0.00317644,-1.7029206,6.177818554,0.441210104
0.75929188,-1.629359691,-0.00537898,-1.826532907,6.173630219,0.455487502
-0.218786422,-14.87922889,-0.00546256,-1.879153029,6.174484089,0.469639572
-0.5732869,-27.12251402,-0.00330207,-1.891142279,6.180976703,0.484055823
-0.396178536,-30.31085768,0.00063408,-1.890955201,6.193740159,0.499160945
1.166537386,-25.19609597,0.00538987,-1.90074538,6.213475754,0.515399123
1.918637033,-20.14799355,0.00975513,-1.929916235,6.241006699,0.533209809
0.772160557,-22.24408457,0.01260205,-1.973225732,6.277438062,0.552991656
-1.09156578,-29.76266478,0.01318613,-2.013620965,6.324627811,0.575042362
0.514156683,-33.43877505,0.01138997,-2.027944307,6.386070995,0.599462647
-0.438476457,-25.94548624,0.00769221,-1.99433918,6.469438802,0.625921203
0.42220314,-9.376692616,0.00300415,-1.899176292,6.59753606,0.652915589
-1.355619867,5.228868629,-0.00138719,-1.742313105,6.855993872,0.674012343
-1.456297106,7.920843598,-0.0043485,-1.538534277,7.68235988,0.663874151
-0.915111404,-1.371545205,-0.00515096,-1.31558777,9.93306038,0.665812162
-1.515327216,-13.56857942,-0.00366109,-1.108718372,9.902158795,0.658387822
-0.696502173,-19.4564445,-0.00039576,-0.953303688,9.914652668,0.650462716
-0.845884525,-18.03668539,0.00364635,-0.877528391,9.947439985,0.644487518
-0.228651055,-15.68646489,0.00727176,-0.895741141,10.00022841,0.642067753
0.363661292,-17.90347531,0.00941401,-1.00080079,10.09012088,0.645551649
-1.593217771,-22.04282614,0.00941806,-1.168412702,10.25477234,0.658831242
-0.149115686,-19.50520068,0.00723201,-1.363136208,10.54953276,0.68357556
-0.286222545,-5.246974121,0.00348463,-1.545310196,10.88015821,0.702941962
-2.497614078,15.34160794,-0.00100582,-1.679846939,11.10560365,0.705279656
-0.774499699,29.31026106,-0.00508987,-1.744382306,10.74250016,0.70972348
-0.455698363,26.81371627,-0.0077092,-1.734705362,10.05569592,0.72788013
-1.025019988,10.30036363,-0.00819,-1.666437172,10.06163892,0.732997353
-1.465654831,-8.538449333,-0.00644109,-1.5719286,10.05099899,0.737913797
